term_id,term_str,n,num,stopwords,port_stem,pos_max
76,affords,3,0,0,afford,VBZ
77,affronted,1,0,0,affront,VBN
78,aforetime,1,0,0,aforetim,NNP
79,afraid,8,0,0,afraid,JJ
80,after,9,0,1,after,IN
81,afternoon,12,0,0,afternoon,NN
82,afternoons,2,0,0,afternoon,NNS
83,afterwards,1,0,0,afterward,NNP
84,again,19,0,1,again,RB
85,against,5,0,1,against,IN
86,age,1,0,0,age,NN
87,aged,2,0,0,age,VBN
88,ages,4,0,0,age,NNS
89,ago,5,0,0,ago,RB
90,agonized,1,0,0,agon,VBD
91,agonizing,1,0,0,agon,JJ
92,agony,5,0,0,agoni,NN
93,aground,1,0,0,aground,NNP
94,ah,9,0,0,ah,NNP
95,aid,1,0,0,aid,NN
96,aided,1,0,0,aid,VBN
97,ailed,1,0,0,ail,VBD
98,aimed,1,0,0,aim,VBD
99,air,24,0,0,air,NN
100,aisles,1,0,0,aisl,NNS
101,ajar,5,0,0,ajar,NN
102,alabaster,2,0,0,alabast,NN
103,alarms,1,0,0,alarm,NNS
104,alas,5,0,0,ala,UH
105,alban,1,0,0,alban,NNP
106,alcohol,1,0,0,alcohol,NN
107,alibi,1,0,0,alibi,NN
108,alighting,1,0,0,alight,NN
109,alike,1,0,0,alik,RB
110,alive,5,0,0,aliv,JJ
111,all,98,0,1,all,DT
112,alluded,1,0,0,allud,NNP
113,almanac,1,0,0,almanac,NN
114,almost,14,0,0,almost,RB
115,alone,10,0,0,alon,RB
116,along,9,0,0,along,IN
117,aloud,1,0,0,aloud,NN
118,alps,4,0,0,alp,NNP
119,also,4,0,0,also,RB
120,alter,1,0,0,alter,NNP
121,altered,2,0,0,alter,JJ
122,although,2,0,0,although,IN
123,alway,2,0,0,alway,RB
124,always,6,0,0,alway,RB
125,am,18,0,1,am,VBP
126,amber,9,0,0,amber,NN
127,ambuscade,1,0,0,ambuscad,NN
128,ambush,1,0,0,ambush,NN
129,amen,1,0,0,amen,NNS
130,amethyst,3,0,0,amethyst,NN
131,amid,3,0,0,amid,IN
132,amiss,1,0,0,amiss,NN
133,ammunition,1,0,0,ammunit,NN
134,among,11,0,0,among,IN
135,amounts,1,0,0,amount,NNS
136,ample,9,0,0,ampl,JJ
137,ampler,1,0,0,ampler,NN
138,amplest,1,0,0,amplest,JJ
139,amplitude,1,0,0,amplitud,NN
140,amulets,1,0,0,amulet,NNS
141,an,105,0,1,an,DT
142,analytic,1,0,0,analyt,JJ
143,ancestor,1,0,0,ancestor,NN
144,anchor,1,0,0,anchor,VB
145,ancient,1,0,0,ancient,JJ
146,and,724,0,1,and,CC
147,anecdotes,1,0,0,anecdot,NNS
148,anemone,2,0,0,anemon,NNP
149,angels,16,0,0,angel,NNS
150,anger,1,0,0,anger,NNP
151,angle,1,0,0,angl,NN
152,angleworm,1,0,0,angleworm,NN
153,anguish,11,0,0,anguish,JJ
154,ankle,2,0,0,ankl,NN
155,ankles,1,0,0,ankl,NNS
156,annihilate,1,0,0,annihil,NNP
157,annual,2,0,0,annual,JJ
158,annul,1,0,0,annul,VBP
159,anodyne,1,0,0,anodyn,NN
160,anodynes,1,0,0,anodyn,NNS
161,anonymous,1,0,0,anonym,RB
162,another,10,0,0,anoth,DT
163,answer,1,0,0,answer,NNP
164,answered,2,0,0,answer,VBD
165,answering,1,0,0,answer,VBG
166,antedate,1,0,0,anted,NN
167,anterior,1,0,0,anterior,JJ
168,antique,2,0,0,antiqu,JJ
169,antiquest,1,0,0,antiquest,NNP
170,antiquity,1,0,0,antiqu,NNP
171,anvil,1,0,0,anvil,NN
172,any,30,0,1,ani,DT
173,anybody,7,0,0,anybodi,NN
174,anything,1,0,0,anyth,NN
175,apart,2,0,0,apart,NNP
176,apartment,1,0,0,apart,NN
177,apartments,1,0,0,apart,NNS
178,apennine,1,0,0,apennin,NNP
179,apology,1,0,0,apolog,NN
180,appalling,1,0,0,appal,VBG
181,apparatus,2,0,0,apparatu,NN
182,apparelled,2,0,0,apparel,VBD
183,apparent,1,0,0,appar,JJ
184,apparently,1,0,0,appar,RB
185,apparition,1,0,0,apparit,NN
186,appear,3,0,0,appear,VB
187,appears,1,0,0,appear,VBZ
188,applaud,1,0,0,applaud,VB
189,applauds,1,0,0,applaud,VBZ
190,apple,2,0,0,appl,NN
191,appletree,1,0,0,appletre,JJ
192,appointed,1,0,0,appoint,VBN
193,apprehension,1,0,0,apprehens,NN
194,approach,1,0,0,approach,VBP
195,approached,1,0,0,approach,NNP
196,approaching,1,0,0,approach,VBG
197,approving,1,0,0,approv,NN
198,april,4,0,0,april,NNP
199,apron,2,0,0,apron,NN
200,aprons,1,0,0,apron,NNS
201,aptitude,1,0,0,aptitud,NN
202,arbitrate,1,0,0,arbitr,VB
203,arc,3,0,0,arc,NN
204,archangel,1,0,0,archangel,NN
205,archer,1,0,0,archer,NN
206,arcs,1,0,0,arc,NN
207,arctic,2,0,0,arctic,JJ
208,arcturus,1,0,0,arcturu,NNP
209,ardent,1,0,0,ardent,JJ
210,are,86,0,1,are,VBP
211,argued,1,0,0,argu,VBD
212,argues,1,0,0,argu,VBZ
213,aristocracy,1,0,0,aristocraci,NN
214,arm,3,0,0,arm,NN
215,armed,1,0,0,arm,JJ
216,aromatic,1,0,0,aromat,NNP
217,arose,3,0,0,aros,VBP
218,around,9,0,0,around,IN
219,arranged,1,0,0,arrang,NNP
220,array,1,0,0,array,NN
221,arrive,1,0,0,arriv,VBP
222,arrogance,1,0,0,arrog,NN
223,arrow,2,0,0,arrow,NN
224,art,4,0,0,art,NN
225,article,1,0,0,articl,NN
226,artificial,1,0,0,artifici,JJ
227,artisans,1,0,0,artisan,NNS
228,artist,2,0,0,artist,NN
229,as,231,0,1,as,IN
230,ascend,2,0,0,ascend,NNP
231,ascended,1,0,0,ascend,VBN
232,ascertain,1,0,0,ascertain,VB
233,ascetic,1,0,0,ascet,JJ
234,ascribe,1,0,0,ascrib,NNP
235,ashamed,4,0,0,asham,VBD
236,ashes,1,0,0,ash,NNP
237,ashine,1,0,0,ashin,NN
238,ask,11,0,0,ask,VB
239,asked,5,0,0,ask,VBD
240,asketh,1,0,0,asketh,VBZ
241,asks,1,0,0,ask,VBZ
242,asleep,3,0,0,asleep,RB
243,aspire,1,0,0,aspir,NN
244,assassin,2,0,0,assassin,NN
245,assault,2,0,0,assault,IN
246,assembly,3,0,0,assembl,NN
247,assent,1,0,0,assent,NNP
248,associates,1,0,0,associ,NNPS
249,assuage,1,0,0,assuag,NN
250,assuages,1,0,0,assuag,NNS
251,assumptiongown,1,0,0,assumptiongown,JJ
252,aster,2,0,0,aster,NN
253,astir,2,0,0,astir,NN
254,astonished,2,0,0,astonish,JJ
255,astray,1,0,0,astray,RB
256,astute,1,0,0,astut,JJ
257,at,132,0,1,at,IN
258,ate,2,0,0,ate,VB
259,atom,1,0,0,atom,NN
260,attaches,1,0,0,attach,NNS
261,attar,2,0,0,attar,NN
262,attempt,3,0,0,attempt,NN
263,attendants,1,0,0,attend,NNS
264,attended,1,0,0,attend,VBD
265,attention,1,0,0,attent,NN
266,attireth,1,0,0,attireth,NNP
267,attitude,2,0,0,attitud,NN
268,attitudes,2,0,0,attitud,NNS
269,auburn,1,0,0,auburn,NNP
270,audible,2,0,0,audibl,JJ
271,audience,1,0,0,audienc,NN
272,audiences,1,0,0,audienc,NNS
273,auger,1,0,0,auger,NN
274,aught,1,0,0,aught,VBN
275,augmented,1,0,0,augment,NNP
276,august,3,0,0,august,NNP
277,aurora,1,0,0,aurora,RB
278,auroral,1,0,0,auror,JJ
279,auspiciously,1,0,0,auspici,RB
280,austerity,1,0,0,auster,NN
281,authors,1,0,0,author,JJ
282,autodafe,1,0,0,autodaf,NNP
283,autumn,3,0,0,autumn,NN
284,avenge,1,0,0,aveng,VB
285,avoid,1,0,0,avoid,VB
286,await,1,0,0,await,NN
287,awaited,1,0,0,await,VBD
288,awake,5,0,0,awak,NN
289,awaken,1,0,0,awaken,VBD
290,aware,2,0,0,awar,JJ
291,away,60,0,0,away,RB
292,awe,6,0,0,awe,NN
293,awful,6,0,0,aw,JJ
294,awhile,1,0,0,awhil,RB
295,awkward,1,0,0,awkward,RB
296,axe,1,0,0,axe,NN
297,axiom,1,0,0,axiom,NN
298,axis,1,0,0,axi,NN
299,ayre,1,0,0,ayr,NNP
300,azure,1,0,0,azur,NN
301,b,1,0,0,b,NNP
302,babbler,1,0,0,babbler,NN
303,babbles,1,0,0,babbl,VBZ
304,back,18,0,0,back,RB
305,backs,1,0,0,back,NNS
306,backward,1,0,0,backward,JJ
307,badinage,2,0,0,badinag,NN
308,baffle,2,0,0,baffl,NNP
309,baffled,1,0,0,baffl,VBD
310,baffles,1,0,0,baffl,VBZ
311,bait,1,0,0,bait,IN
312,bald,1,0,0,bald,NN
313,bales,1,0,0,bale,NNS
314,balking,1,0,0,balk,VBG
315,ball,1,0,0,ball,NN
316,ballad,1,0,0,ballad,NN
317,ballads,2,0,0,ballad,NNS
318,balloon,1,0,0,balloon,NN
319,balloons,1,0,0,balloon,NNS
320,ballot,1,0,0,ballot,NN
321,balls,3,0,0,ball,NNS
322,balm,1,0,0,balm,NN
323,balms,1,0,0,balm,NN
324,balsam,1,0,0,balsam,NN
325,band,1,0,0,band,NN
326,bands,1,0,0,band,NNS
327,banish,1,0,0,banish,VB
328,banishment,1,0,0,banish,NN
329,banker,1,0,0,banker,NN
330,banks,2,0,0,bank,NNS
331,banner,1,0,0,banner,NN
332,banners,1,0,0,banner,NNS
333,banquet,1,0,0,banquet,NN
334,banquetings,1,0,0,banquet,NNS
335,banquets,1,0,0,banquet,NNS
336,baptism,1,0,0,baptism,NNP
337,baptized,1,0,0,baptiz,VBN
338,bar,2,0,0,bar,NN
339,barbed,1,0,0,barb,JJ
340,barbs,1,0,0,barb,NNP
341,bard,1,0,0,bard,NN
342,bards,1,0,0,bard,NNS
343,barefoot,2,0,0,barefoot,NN
344,barely,1,0,0,bare,RB
345,bark,2,0,0,bark,NN
346,barn,2,0,0,barn,NN
347,barns,2,0,0,barn,NNS
348,baronial,1,0,0,baroni,NNP
349,barred,2,0,0,bar,VBD
350,bars,5,0,0,bar,NNS
351,basement,1,0,0,basement,NN
352,bases,1,0,0,base,NNS
353,bashful,4,0,0,bash,JJ
354,basis,1,0,0,basi,NN
355,bat,1,0,0,bat,NN
356,bates,1,0,0,bate,VBZ
357,bathed,1,0,0,bath,VBD
358,batschia,1,0,0,batschia,NNP
359,battered,1,0,0,batter,VBD
360,bay,3,0,0,bay,NN
361,bayonet,1,0,0,bayonet,NN
362,be,157,0,1,be,VB
363,beads,2,0,0,bead,NNS
364,beak,1,0,0,beak,NN
365,beam,2,0,0,beam,NN
366,bear,8,0,0,bear,VB
367,bearest,1,0,0,bearest,JJS
368,bears,4,0,0,bear,VBZ
369,beating,3,0,0,beat,NN
370,beatrice,1,0,0,beatric,NNP
371,beautiful,2,0,0,beauti,NN
372,beauty,3,0,0,beauti,NN
373,became,2,0,0,becam,VBD
374,because,15,0,1,becaus,IN
375,beckoned,1,0,0,beckon,VBD
376,beckons,2,0,0,beckon,NNS
377,beclouded,1,0,0,becloud,JJ
378,become,5,0,0,becom,VBP
379,becomes,3,0,0,becom,VBZ
380,becoming,1,0,0,becom,VBG
381,bed,6,0,0,bed,NN
382,bedecked,1,0,0,bedeck,VBN
383,beds,3,0,0,bed,NNS
384,bedtime,1,0,0,bedtim,JJ
385,bee,31,0,0,bee,NN
386,been,14,0,1,been,VBN
387,bees,12,0,0,bee,NNS
388,beetle,2,0,0,beetl,JJ
389,befalls,1,0,0,befal,NNS
390,befell,1,0,0,befel,NN
391,before,48,0,1,befor,IN
392,beg,1,0,0,beg,VBP
393,began,3,0,0,began,VBD
394,begets,1,0,0,beget,VBZ
395,beggar,6,0,0,beggar,NN
396,beggars,2,0,0,beggar,JJ
397,beggary,1,0,0,beggari,NN
398,begged,1,0,0,beg,VBD
399,begging,1,0,0,beg,VBG
400,begin,2,0,0,begin,NN
401,begins,1,0,0,begin,VBZ
402,beguiled,1,0,0,beguil,NNP
403,beguiles,1,0,0,beguil,VBZ
404,beguiling,1,0,0,beguil,VBG
405,begun,8,0,0,begun,VBN
406,beheads,1,0,0,behead,VBZ
407,beheld,3,0,0,beheld,VBD
408,behind,16,0,0,behind,IN
409,behold,7,0,0,behold,NNP
410,behooveth,1,0,0,behooveth,VBZ
411,being,8,0,1,be,VBG
412,belated,1,0,0,belat,JJ
413,belief,2,0,0,belief,NN
414,believe,4,0,0,believ,VB
415,believed,1,0,0,believ,VBN
416,bell,5,0,0,bell,NN
417,belles,2,0,0,bell,NNP
418,bellows,1,0,0,bellow,NNS
419,bells,12,0,0,bell,NNS
420,belong,3,0,0,belong,RB
421,beloved,4,0,0,belov,JJ
422,below,11,0,1,below,IN
423,belshazzar,2,0,0,belshazzar,NNP
424,belt,3,0,0,belt,NN
425,belted,1,0,0,belt,VBD
426,bending,2,0,0,bend,VBG
427,beneath,6,0,0,beneath,IN
428,benediction,1,0,0,benedict,NN
429,beneficent,1,0,0,benefic,NNP
430,bent,2,0,0,bent,NNP
431,bequeaths,1,0,0,bequeath,NNP
432,bequest,1,0,0,bequest,NN
433,bereaved,3,0,0,bereav,JJ
434,berry,2,0,0,berri,NN
435,beryl,2,0,0,beryl,NN
436,beseeching,1,0,0,beseech,VBG
437,beside,2,0,0,besid,NNP
438,besides,2,0,0,besid,IN
439,best,13,0,0,best,JJS
440,bestir,2,0,0,bestir,VB
441,bestow,2,0,0,bestow,NN
442,betides,1,0,0,betid,NNS
443,betimes,1,0,0,betim,NNP
444,betray,1,0,0,betray,VB
445,betrayed,2,0,0,betray,NN
446,betrays,1,0,0,betray,VBZ
447,betrothal,1,0,0,betroth,JJ
448,better,5,0,0,better,JJR
449,between,11,0,1,between,IN
450,beware,1,0,0,bewar,NNP
451,bewildered,1,0,0,bewild,VBD
452,bewildering,1,0,0,bewild,NN
453,beyond,10,0,0,beyond,IN
454,bid,1,0,0,bid,IN
455,bill,2,0,0,bill,NN
456,billow,1,0,0,billow,NN
457,billows,2,0,0,billow,NNS
458,bind,2,0,0,bind,NNP
459,binds,1,0,0,bind,VBZ
460,bird,24,0,0,bird,NN
461,birds,18,0,0,bird,NNS
462,bisected,1,0,0,bisect,VBN
463,bit,2,0,0,bit,NN
464,bitter,1,0,0,bitter,NNP
465,black,1,0,0,black,JJ
466,blackbird,1,0,0,blackbird,NN
467,blackbirds,1,0,0,blackbird,NNS
468,blacksmith,1,0,0,blacksmith,NN
469,blame,5,0,0,blame,NN
470,blamed,2,0,0,blame,VBN
471,bland,1,0,0,bland,VBP
472,blank,3,0,0,blank,NN
473,blanket,1,0,0,blanket,NN
474,blast,1,0,0,blast,NN
475,blaze,5,0,0,blaze,VB
476,blazing,1,0,0,blaze,VBG
477,bleaker,2,0,0,bleaker,NN
478,bleakness,1,0,0,bleak,NN
479,bleating,1,0,0,bleat,NN
480,bleeding,1,0,0,bleed,NN
481,bless,2,0,0,bless,NNP
482,blessed,2,0,0,bless,VBN
483,blessing,1,0,0,bless,NN
484,blest,2,0,0,blest,JJS
485,blew,4,0,0,blew,NN
486,blind,1,0,0,blind,JJ
487,blindness,1,0,0,blind,NN
488,blinds,1,0,0,blind,NNS
489,bliss,12,0,0,bliss,NN
490,blissful,1,0,0,bliss,JJ
491,blithe,1,0,0,blith,VBZ
492,blond,3,0,0,blond,NN
493,blood,2,0,0,blood,NN
494,bloom,4,0,0,bloom,VB
495,blooms,1,0,0,bloom,NNS
496,blossom,4,0,0,blossom,NN
497,blossoms,2,0,0,blossom,NNS
498,blot,1,0,0,blot,VBP
499,blotted,1,0,0,blot,VBD
500,blow,3,0,0,blow,NN
501,blown,3,0,0,blown,NN
502,blue,13,0,0,blue,NN
503,bluebirds,1,0,0,bluebird,NNS
504,blunder,1,0,0,blunder,NN
505,blushing,2,0,0,blush,NN
506,boanerges,1,0,0,boanerg,NNP
507,board,1,0,0,board,NN
508,boast,1,0,0,boast,VB
509,boasts,1,0,0,boast,VBZ
510,boat,1,0,0,boat,NN
511,bobolink,3,0,0,bobolink,NN
512,bobolinks,1,0,0,bobolink,NNS
513,bodice,4,0,0,bodic,NN
514,bodies,1,0,0,bodi,NNS
515,bodiless,1,0,0,bodiless,NN
516,body,1,0,0,bodi,NN
517,bog,3,0,0,bog,NN
518,boggy,1,0,0,boggi,JJ
519,boiling,1,0,0,boil,NN
520,bold,6,0,0,bold,JJ
521,bolder,2,0,0,bolder,NN
522,boldest,1,0,0,boldest,JJS
523,boldly,2,0,0,boldli,RB
524,bolt,2,0,0,bolt,NN
525,bolts,1,0,0,bolt,VBD
526,bond,1,0,0,bond,NN
527,bone,6,0,0,bone,NN
528,bonnet,4,0,0,bonnet,NN
529,bonnets,2,0,0,bonnet,NNS
530,bonnie,1,0,0,bonni,NN
531,book,6,0,0,book,NN
532,books,1,0,0,book,NNS
533,boon,1,0,0,boon,NN
534,boot,1,0,0,boot,NN
535,boots,1,0,0,boot,NNS
536,border,1,0,0,border,NN
537,bore,7,0,0,bore,VBD
538,born,1,0,0,born,NNP
539,borne,3,0,0,born,NN
540,borrow,1,0,0,borrow,VB
541,bosom,3,0,0,bosom,NN
542,bosoms,1,0,0,bosom,NNS
543,both,6,0,1,both,DT
544,bottom,1,0,0,bottom,NN
545,boughs,3,0,0,bough,NNS
546,bound,4,0,0,bound,NN
547,boundaries,1,0,0,boundari,NNS
548,boundless,1,0,0,boundless,JJ
549,bounty,1,0,0,bounti,NN
550,bouquet,2,0,0,bouquet,NN
551,bow,2,0,0,bow,NN
552,bowed,1,0,0,bow,VBD
553,bowing,1,0,0,bow,VBG
554,bowls,1,0,0,bowl,NN
555,bows,1,0,0,bow,NNS
556,box,1,0,0,box,NN
557,boy,5,0,0,boy,NN
558,boys,3,0,0,boy,NNS
559,brag,1,0,0,brag,VBP
560,brain,9,0,0,brain,NN
561,brake,2,0,0,brake,NN
562,brass,1,0,0,brass,NN
563,brave,5,0,0,brave,NN
564,bravest,2,0,0,bravest,JJS
565,bravos,1,0,0,bravo,VBP
566,brazil,1,0,0,brazil,NNP
567,bread,2,0,0,bread,NN
568,breadth,1,0,0,breadth,NN
569,breadths,2,0,0,breadth,NNS
570,break,10,0,0,break,VB
571,breakfast,1,0,0,breakfast,NN
572,breaking,6,0,0,break,VBG
573,breaks,2,0,0,break,NNP
574,breast,8,0,0,breast,NN
575,breasts,1,0,0,breast,NNS
576,breath,16,0,0,breath,NN
577,breathe,2,0,0,breath,VB
578,breathed,2,0,0,breath,VBD
579,breathing,1,0,0,breath,NN
580,breathless,3,0,0,breathless,NN
581,bred,1,0,0,bred,VBN
582,breeze,6,0,0,breez,NN
583,breezes,4,0,0,breez,NNS
584,brethren,1,0,0,brethren,NNS
585,brewed,2,0,0,brew,NNP
586,brews,1,0,0,brew,VBZ
587,bribe,2,0,0,bribe,NN
588,bridal,1,0,0,bridal,JJ
589,bride,2,0,0,bride,NNP
590,bridegroom,1,0,0,bridegroom,NN
591,bridge,1,0,0,bridg,NN
592,bridges,2,0,0,bridg,NNS
593,bridget,1,0,0,bridget,NNP
594,brief,4,0,0,brief,JJ
595,briefly,2,0,0,briefli,NN
596,brier,1,0,0,brier,NN
597,brig,2,0,0,brig,NN
598,brigadier,1,0,0,brigadi,NN
599,bright,7,0,0,bright,JJ
600,brimming,2,0,0,brim,JJ
601,bring,6,0,0,bring,VBP
602,brings,1,0,0,bring,VBZ
603,briskly,1,0,0,briskli,JJ
604,britain,1,0,0,britain,NNP
605,british,1,0,0,british,JJ
606,brittle,3,0,0,brittl,JJ
607,broached,1,0,0,broach,VBD
608,broad,4,0,0,broad,JJ
609,broadcloth,1,0,0,broadcloth,DT
610,broadest,1,0,0,broadest,JJS
611,broke,5,0,0,broke,VBD
612,broken,5,0,0,broken,VBN
613,bronze,1,0,0,bronz,NN
614,brooch,1,0,0,brooch,NN
615,brooches,1,0,0,brooch,NNS
616,brood,2,0,0,brood,NN
617,brook,8,0,0,brook,NN
618,brooks,4,0,0,brook,NNS
619,broom,1,0,0,broom,NN
620,brooms,4,0,0,broom,NNS
621,brother,2,0,0,brother,NN
622,brought,4,0,0,brought,VBD
623,brow,2,0,0,brow,NN
624,brown,4,0,0,brown,IN
625,brows,1,0,0,brow,NNS
626,brush,2,0,0,brush,VB
627,brushed,1,0,0,brush,VBD
628,bryant,1,0,0,bryant,NNP
629,bubble,3,0,0,bubbl,JJ
630,bubbled,1,0,0,bubbl,VBD
631,buccaneering,1,0,0,buccan,VBG
632,buckets,1,0,0,bucket,NNS
633,buckle,1,0,0,buckl,NN
634,buckled,1,0,0,buckl,JJ
635,buds,1,0,0,bud,NN
636,buenos,1,0,0,bueno,NNP
637,bugle,2,0,0,bugl,NN
638,build,1,0,0,build,VB
639,building,1,0,0,build,NNP
640,built,1,0,0,built,VBD
641,bulb,2,0,0,bulb,NN
642,bullets,2,0,0,bullet,NNS
643,bumblebee,2,0,0,bumblebe,NN
644,bumblebees,3,0,0,bumblebe,NNS
645,burden,1,0,0,burden,NN
646,burglar,1,0,0,burglar,NNP
647,burial,2,0,0,burial,JJ
648,burmah,1,0,0,burmah,NNP
649,burn,4,0,0,burn,NN
650,burned,1,0,0,burn,VBD
651,burning,2,0,0,burn,NN
652,burrowed,1,0,0,burrow,VBN
653,burrs,1,0,0,burr,NN
654,burst,1,0,0,burst,VBP
655,bush,4,0,0,bush,NN
656,bushes,1,0,0,bush,NNS
657,business,3,0,0,busi,NN
658,bustle,3,0,0,bustl,NN
659,bustled,1,0,0,bustl,VBD
660,bustling,1,0,0,bustl,NN
661,busy,4,0,0,busi,JJ
662,but,187,0,1,but,CC
663,buttercup,1,0,0,buttercup,NN
664,buttercups,2,0,0,buttercup,NNS
665,butterflies,9,0,0,butterfli,NNS
666,butterfly,8,0,0,butterfli,NN
667,button,1,0,0,button,NN
668,buy,4,0,0,buy,VB
669,buzz,1,0,0,buzz,IN
670,by,111,0,1,by,IN
671,bystanders,1,0,0,bystand,NNS
672,c,1,0,0,c,NNP
673,ca,4,0,0,ca,MD
674,cabinets,1,0,0,cabinet,NNS
675,cadence,1,0,0,cadenc,NN
676,call,8,0,0,call,VB
677,called,7,0,0,call,VBN
678,calls,2,0,0,call,NNP
679,calm,1,0,0,calm,VBP
680,calvaries,1,0,0,calvari,NNP
681,calvary,5,0,0,calvari,NNP
682,came,18,0,0,came,VBD
683,camp,1,0,0,camp,NN
684,campaign,1,0,0,campaign,NN
685,can,70,0,1,can,MD
686,canaan,1,0,0,canaan,NNP
687,cancelled,2,0,0,cancel,VBD
688,candid,1,0,0,candid,NNP
689,candle,2,0,0,candl,NN
690,cannon,1,0,0,cannon,NN
691,canticle,1,0,0,canticl,NN
692,cap,1,0,0,cap,NN
693,capacious,1,0,0,capaci,NNP
694,capacity,2,0,0,capac,NN
695,caper,3,0,0,caper,NN
696,caption,1,0,0,caption,NN
697,captive,1,0,0,captiv,NN
698,captives,1,0,0,captiv,NNS
699,captivity,1,0,0,captiv,NNP
700,caravan,2,0,0,caravan,NN
701,carbonates,1,0,0,carbon,VBZ
702,care,12,0,0,care,NN
703,cared,1,0,0,care,VBD
704,career,2,0,0,career,NN
705,careers,1,0,0,career,NNS
706,careful,1,0,0,care,JJ
707,careless,1,0,0,careless,JJ
708,cargoes,1,0,0,cargo,NNS
709,carmine,1,0,0,carmin,NN
710,carol,1,0,0,carol,NN
711,carolled,2,0,0,carol,NNP
712,carrara,1,0,0,carrara,NNP
713,carriage,1,0,0,carriag,NN
714,carried,2,0,0,carri,VBD
715,carries,1,0,0,carri,VBZ
716,carry,2,0,0,carri,VB
717,cars,1,0,0,car,NNS
718,cart,1,0,0,cart,NN
719,carved,1,0,0,carv,VBN
720,cases,1,0,0,case,NNS
721,cashmere,2,0,0,cashmer,NNP
722,caspian,2,0,0,caspian,NNP
723,castle,1,0,0,castl,NN
724,casual,1,0,0,casual,JJ
725,cat,1,0,0,cat,NN
726,catacomb,1,0,0,catacomb,NN
727,catching,1,0,0,catch,VBG
728,cathedral,1,0,0,cathedr,JJ
729,cattle,1,0,0,cattl,NNS
730,caucus,1,0,0,caucu,NN
731,caught,1,0,0,caught,VBN
732,cause,3,0,0,caus,NN
733,caution,1,0,0,caution,NN
734,cautions,1,0,0,caution,VBZ
735,cautious,5,0,0,cautiou,JJ
736,cautiously,2,0,0,cautious,RB
737,cavalry,1,0,0,cavalri,NN
738,cave,1,0,0,cave,NN
739,cease,1,0,0,ceas,NN
740,ceased,4,0,0,ceas,VBN
741,ceaseless,2,0,0,ceaseless,NN
742,ceases,1,0,0,ceas,NNS
743,cedar,1,0,0,cedar,NN
744,ceded,2,0,0,cede,JJ
745,ceiling,1,0,0,ceil,NN
746,celebrated,1,0,0,celebr,NNP
747,celebrates,1,0,0,celebr,VBZ
748,celestial,4,0,0,celesti,JJ
