term_id,term_str,n,num,stopwords,port_stem,pos_max,doc_freq,inverse_doc_freq,tfidf_mean,tfidf_sum,tfidf_median,tfidf_max,term,vector,x,y
10,abode,4,0,0,abod,NN,4,2.0394141191761372,0.040628804388675874,0.1625152175547035,0.040388397262115655,0.04532031375946972,,"[ 0.19496608  0.01154891 -0.31627306 -0.0340809  -0.31617084 -0.5532319
  0.7579789   1.1094565  -0.81099087 -0.40495038 -0.20632493 -0.7216394
  0.51631117  0.5156984  -0.53589976  0.25591898  0.6241201   0.24365136
 -1.0263622  -0.621388    0.53936684  0.4354021   0.9457702  -0.3372085
  0.25448638  0.05952124 -0.04597641  0.37736917 -0.89377916  0.01244362
  0.02499734 -0.1994169  -0.13170138 -0.01346547 -0.43823856  0.24929076
  0.7351863   0.23658678  0.46333483 -0.42852557  0.4653215  -0.03918461
 -0.24584188 -0.3947153   1.0950806   0.00684997  0.09891191 -0.22246604
  0.42877668  0.36301303]",50.139324,-1.2649337
11,about,8,0,1,about,IN,7,1.7963760704898426,0.03976901091383376,0.2783830763968363,0.031515369657716535,0.0945461089731496,as,"[ 0.21161854 -0.00921498 -0.29257604  0.00362078 -0.30761513 -0.5340668
  0.7582616   1.0664271  -0.7998357  -0.3985508  -0.17551291 -0.7040967
  0.5383831   0.5087785  -0.5158595   0.2721591   0.6286957   0.25558025
 -1.0220327  -0.6231258   0.55202377  0.4425647   0.9335101  -0.3337798
  0.261794    0.08782386 -0.07267669  0.39616853 -0.88029134  0.00790369
  0.03152986 -0.19401997 -0.10925268 -0.01755241 -0.42961884  0.20922166
  0.7026636   0.24147294  0.44556895 -0.4076448   0.45956644 -0.00690348
 -0.24508004 -0.38825378  1.1007129   0.0271644   0.09418118 -0.25332814
  0.43148905  0.34429088]",49.870155,-2.0043404
12,above,7,0,1,abov,IN,7,1.7963760704898426,0.03942294054467655,0.27596058381273586,0.03454569366326621,0.08554171764237345,for,"[ 0.23301573 -0.0022436  -0.32270756 -0.01458157 -0.3035228  -0.5598134
  0.7765978   1.1233733  -0.8212885  -0.40203917 -0.18864    -0.7298759
  0.53984046  0.563732   -0.5541108   0.27693418  0.66955745  0.27424675
 -1.042859   -0.6493459   0.5717838   0.43842164  0.96619064 -0.3582517
  0.27807385  0.07251605 -0.05516847  0.39471975 -0.91534394 -0.00732785
  0.02953373 -0.16465947 -0.12825173  0.00942044 -0.4602963   0.236892
  0.72750324  0.21410465  0.44896272 -0.44912907  0.47304776 -0.03627397
 -0.21969149 -0.41339707  1.1273165   0.03400465  0.08334436 -0.26463586
  0.43191898  0.3680518 ]",50.555786,-1.4109173
13,abroad,11,0,0,abroad,RB,10,1.6414741105040995,0.022126262671832063,0.22126262671832062,0.020017976957367067,0.03568421979356738,not,"[ 0.20715104 -0.01268758 -0.32289994 -0.01200741 -0.30588543 -0.55615294
  0.7225795   1.0580482  -0.7924218  -0.40138716 -0.19234787 -0.709648
  0.53388685  0.5226372  -0.52158564  0.27792656  0.60786223  0.24102814
 -1.0158386  -0.6141621   0.54068273  0.43763894  0.8993882  -0.330859
  0.27728292  0.0485662  -0.03722638  0.398811   -0.88053983  0.01579241
  0.02781469 -0.19139466 -0.13791853  0.00917586 -0.4287806   0.21289465
  0.73068506  0.20859145  0.42780492 -0.41201288  0.4303565  -0.01875763
 -0.23507366 -0.38507247  1.0636395   0.0175682   0.11280581 -0.24440096
  0.4156851   0.36833945]",49.69838,-1.879939
14,abrogate,1,0,0,abrog,VB,1,2.6414741105040997,0.032213098908586583,0.032213098908586583,0.032213098908586583,0.032213098908586583,my,"[ 2.1912214e-01 -4.3602916e-03 -2.8181428e-01 -4.3053022e-03
 -2.8767574e-01 -5.2323312e-01  7.2148168e-01  1.0430806e+00
 -7.7196115e-01 -3.8365781e-01 -1.9300590e-01 -6.8392169e-01
  5.1523620e-01  4.9874195e-01 -5.0436884e-01  2.6617259e-01
  6.1474705e-01  2.4535266e-01 -9.8898345e-01 -6.1073923e-01
  5.3336054e-01  4.3072727e-01  8.8812160e-01 -3.5271811e-01
  2.4455054e-01  8.1053965e-02 -5.4259751e-02  3.8847408e-01
 -8.7272942e-01  1.7576428e-02  7.1180584e-05 -1.6207081e-01
 -1.2208695e-01 -1.0632288e-02 -4.2619905e-01  2.1817663e-01
  6.8143392e-01  2.1009742e-01  4.1969541e-01 -3.9680776e-01
  4.4785267e-01 -2.8061679e-02 -2.2548597e-01 -3.6938560e-01
  1.0603307e+00  3.0537006e-03  8.0193944e-02 -2.3501295e-01
  4.2885366e-01  3.4980875e-01]",49.30739,-1.6875846
15,absolute,2,0,0,absolut,JJ,2,2.3404441148401185,0.061976917326776654,0.12395383465355331,0.061976917326776654,0.06686983185257481,but,"[ 1.8525553e-01  4.0811673e-03 -2.8339735e-01 -3.1618919e-02
 -2.9542679e-01 -5.0955272e-01  6.9988638e-01  1.0688342e+00
 -7.6461732e-01 -3.6269501e-01 -1.7270242e-01 -6.9514555e-01
  5.0110918e-01  5.3127062e-01 -5.0779361e-01  2.7681908e-01
  5.9119123e-01  2.6494247e-01 -9.8538977e-01 -6.0565871e-01
  5.4223275e-01  4.1670245e-01  9.0171850e-01 -3.4091893e-01
  2.5080466e-01  6.9394939e-02 -3.1199910e-02  3.7064484e-01
 -8.5654056e-01 -1.8990524e-02  9.4277068e-04 -1.7520180e-01
 -1.3789077e-01  8.8099288e-03 -4.1639113e-01  2.1880192e-01
  7.0832354e-01  2.3518500e-01  4.5319048e-01 -4.0990439e-01
  4.3251902e-01 -3.2945808e-02 -2.3995346e-01 -3.6145225e-01
  1.0497098e+00  1.4001058e-02  9.1497816e-02 -2.3916130e-01
  4.2324674e-01  3.4198210e-01]",49.279392,-1.9567198
16,absorb,1,0,0,absorb,VB,1,2.6414741105040997,0.06289224072628809,0.06289224072628809,0.06289224072628809,0.06289224072628809,me,"[ 0.16483228  0.02312106 -0.2653277   0.00156114 -0.2433738  -0.47155145
  0.6681646   0.94870377 -0.70535254 -0.3325454  -0.16290373 -0.63282883
  0.47986946  0.45611984 -0.4382235   0.24010834  0.537193    0.21724762
 -0.90447545 -0.5420123   0.48480663  0.3982789   0.8259648  -0.3175583
  0.24024634  0.0637456  -0.049474    0.32390553 -0.7741276  -0.01635892
  0.02612038 -0.16504624 -0.09690665  0.02587006 -0.3811011   0.20832829
  0.624564    0.21098424  0.40133604 -0.38204327  0.38557735 -0.0135103
 -0.20201418 -0.344241    0.9460288   0.00782787  0.08788884 -0.19911632
  0.36346456  0.30851635]",46.67353,-0.9440683
17,abstemiousness,1,0,0,abstemi,NN,1,2.6414741105040997,0.07769041501482646,0.07769041501482646,0.07769041501482646,0.07769041501482646,was,"[ 0.20115311  0.00921807 -0.29674268 -0.02674134 -0.27213913 -0.5256836
  0.7167815   1.0472546  -0.7442785  -0.3865586  -0.20179594 -0.6918806
  0.52265745  0.5018488  -0.5255277   0.2568525   0.5936764   0.25530776
 -0.99115574 -0.5803454   0.5094192   0.4147602   0.8929012  -0.31556478
  0.24105379  0.0544129  -0.06248693  0.36015385 -0.87153316 -0.0061422
  0.01307064 -0.18780887 -0.10330223  0.00350093 -0.40216878  0.22324075
  0.6919042   0.20062049  0.42802107 -0.3900436   0.4124986  -0.02371813
 -0.21504085 -0.37130675  1.0640789   0.03401931  0.09846546 -0.21043906
  0.4223087   0.33469138]",49.157288,-1.1268893
18,abstinence,2,0,0,abstin,NN,2,2.3404441148401185,0.05819137006842918,0.11638274013685836,0.05819137006842918,0.07801480382800395,so,"[ 0.19089478 -0.00726712 -0.3146196  -0.00171898 -0.28093448 -0.5330076
  0.6998131   1.0532436  -0.75772315 -0.37738326 -0.18532673 -0.6835178
  0.49689963  0.5044203  -0.5050966   0.27543515  0.6043212   0.21955535
 -0.95255554 -0.5982728   0.5276321   0.41870803  0.8656894  -0.33305356
  0.27175444  0.05469971 -0.06269684  0.3921313  -0.85239494 -0.00930009
  0.03083835 -0.15924494 -0.10724041  0.02413046 -0.4287958   0.22756709
  0.68798023  0.22040984  0.4347489  -0.38885748  0.43167302 -0.01193538
 -0.22506733 -0.37849423  1.0317899   0.01919318  0.08392869 -0.21314093
  0.41366467  0.35934392]",48.98511,-1.1243049
19,abundant,1,0,0,abund,JJ,1,2.6414741105040997,0.058699424677868886,0.058699424677868886,0.058699424677868886,0.058699424677868886,with,"[ 2.0191512e-01  2.4032759e-02 -2.9006922e-01  9.4617100e-04
 -2.6337424e-01 -5.2451366e-01  6.8043703e-01  1.0099322e+00
 -7.2378123e-01 -3.6196917e-01 -1.8513037e-01 -6.4450473e-01
  5.0896704e-01  4.8879054e-01 -4.9877405e-01  2.4215344e-01
  5.7524770e-01  2.1807009e-01 -9.3894684e-01 -5.7681423e-01
  5.1771259e-01  4.1131520e-01  8.4726107e-01 -3.4301713e-01
  2.5278196e-01  4.8702367e-02 -4.0342078e-02  3.5639852e-01
 -8.1031525e-01  2.2857722e-03  2.0768002e-02 -1.7247461e-01
 -1.1759822e-01  1.9252574e-02 -3.9820057e-01  2.0123963e-01
  6.5186864e-01  2.0922013e-01  4.3185616e-01 -3.7688160e-01
  3.9522371e-01 -4.2157820e-03 -2.0385274e-01 -3.4318733e-01
  1.0275908e+00 -8.3124608e-04  7.1372718e-02 -2.0832041e-01
  4.1519740e-01  3.4351656e-01]",48.15161,-1.1430131
20,abyss,2,0,0,abyss,NN,2,2.3404441148401185,0.042115134484073564,0.08423026896814713,0.042115134484073564,0.058511102871002967,be,"[ 0.20947666  0.00180464 -0.2709786  -0.03406215 -0.2853829  -0.51485544
  0.6752289   1.0168304  -0.73733664 -0.37192997 -0.16390345 -0.6628755
  0.5044912   0.4786975  -0.47410676  0.2592029   0.58642846  0.22594345
 -0.93057555 -0.58283204  0.50360626  0.3932387   0.8639229  -0.32877892
  0.23136453  0.06773841 -0.04577768  0.35302606 -0.8049629   0.00784363
  0.00409876 -0.16229972 -0.0957265   0.01962665 -0.3873517   0.22113685
  0.66686636  0.20049061  0.40052417 -0.3851415   0.40765414 -0.02193881
 -0.22498101 -0.34124565  0.9856967  -0.00119714  0.08215862 -0.22132747
  0.37766436  0.33617797]",47.95471,-1.5279325
21,accent,1,0,0,accent,NN,1,2.6414741105040997,0.08254606595325312,0.08254606595325312,0.08254606595325312,0.08254606595325312,her,"[ 0.1982428   0.00638421 -0.32289058 -0.01344702 -0.28260142 -0.5390888
  0.7229097   1.0760378  -0.76699495 -0.3761902  -0.21245576 -0.7093093
  0.52548546  0.5247684  -0.54202497  0.2781699   0.6061596   0.23499146
 -0.9911688  -0.6131782   0.5512208   0.44230247  0.89892316 -0.3250507
  0.26661915  0.08957646 -0.0379144   0.36496824 -0.88475734  0.01268061
  0.0227748  -0.1572695  -0.10759699  0.01834246 -0.4508939   0.2374892
  0.70129913  0.2281618   0.45686117 -0.4052418   0.4518241  -0.02135941
 -0.23241718 -0.36661112  1.0630494   0.01706568  0.11676743 -0.24442309
  0.42887595  0.33969417]",49.657295,-1.2192473
22,accented,1,0,0,accent,VBN,1,2.6414741105040997,0.02723169186086701,0.02723169186086701,0.02723169186086701,0.02723169186086701,when,"[ 0.23270056  0.02498959 -0.31089258 -0.00626002 -0.29378366 -0.56312937
  0.7481792   1.11821    -0.80859387 -0.4007601  -0.18715392 -0.71540576
  0.5268037   0.5296739  -0.522991    0.26105675  0.63290477  0.24262886
 -1.0328422  -0.63457996  0.5473405   0.41763124  0.9336418  -0.37046057
  0.24867494  0.05365154 -0.06615784  0.40723905 -0.89075893 -0.00374108
  0.00768374 -0.1952065  -0.12360737  0.00237162 -0.43872768  0.23249505
  0.7292034   0.22625811  0.4384858  -0.43560398  0.4309586  -0.02896102
 -0.23095073 -0.37463492  1.0964288   0.01216472  0.11705428 -0.23825327
  0.42818674  0.3831522 ]",50.115524,-1.4507596
23,accept,1,0,0,accept,VB,1,2.6414741105040997,0.08004467001527575,0.08004467001527575,0.08004467001527575,0.08004467001527575,at,"[ 2.2007667e-01 -3.4882999e-03 -3.0313072e-01 -4.1453373e-03
 -3.1370789e-01 -5.5717188e-01  7.5923848e-01  1.1274986e+00
 -8.1195575e-01 -4.0124261e-01 -1.9376789e-01 -7.2497910e-01
  5.4102963e-01  5.3602022e-01 -5.5299467e-01  2.9121149e-01
  6.6240245e-01  2.7531806e-01 -1.0527893e+00 -6.1771250e-01
  5.5358261e-01  4.6130601e-01  9.4658422e-01 -3.4962738e-01
  2.7829945e-01  8.4874563e-02 -6.5012023e-02  4.1439417e-01
 -9.1338462e-01 -1.0500673e-02  9.8067969e-03 -1.6108650e-01
 -1.3956146e-01 -7.0131622e-04 -4.3179846e-01  2.3450828e-01
  7.2182846e-01  2.1421176e-01  4.7741669e-01 -4.1317073e-01
  4.6353042e-01 -3.0835550e-02 -2.5617099e-01 -3.8363275e-01
  1.1260271e+00  3.4800926e-03  8.4016971e-02 -2.4582872e-01
  4.2543045e-01  3.6507410e-01]",50.35043,-1.9782053
24,accessible,1,0,0,access,JJ,1,2.6414741105040997,0.07139119217578649,0.07139119217578649,0.07139119217578649,0.07139119217578649,if,"[ 0.18100537 -0.00586965 -0.25086018 -0.03698126 -0.24160561 -0.46066785
  0.64069307  0.96750355 -0.6641082  -0.3479879  -0.182078   -0.6300559
  0.44077602  0.4516014  -0.4662819   0.2194772   0.55014473  0.2268865
 -0.86845136 -0.5368058   0.47053453  0.3780985   0.80131406 -0.2854313
  0.23370391  0.0736576  -0.06046921  0.35830697 -0.7748859   0.01911659
 -0.00292966 -0.15039143 -0.10734434  0.00241597 -0.38880464  0.17859237
  0.609012    0.17477645  0.39655876 -0.35977712  0.38248116 -0.00538094
 -0.20582496 -0.34163108  0.9219904  -0.00852787  0.10321044 -0.21651888
  0.35392582  0.3250729 ]",46.04713,-1.4031782
25,accident,1,0,0,accid,NN,1,2.6414741105040997,0.09108531415531378,0.09108531415531378,0.09108531415531378,0.09108531415531378,you,"[ 1.79495260e-01 -8.80170427e-03 -2.41584167e-01 -2.52503213e-02
 -2.23172411e-01 -4.34820563e-01  5.73338151e-01  8.59525144e-01
 -5.99492848e-01 -2.88675398e-01 -1.71856761e-01 -5.68466067e-01
  4.30026263e-01  4.18788046e-01 -4.18041259e-01  2.13427186e-01
  5.11740148e-01  1.98121220e-01 -8.16500425e-01 -4.76945728e-01
  4.44630802e-01  3.49251390e-01  7.27387488e-01 -2.84967512e-01
  2.11546138e-01  4.90467660e-02 -2.58080345e-02  2.90780306e-01
 -7.12403178e-01  7.68414582e-04 -5.90008218e-03 -1.25605017e-01
 -1.00130439e-01  2.45105866e-02 -3.51995081e-01  1.75505668e-01
  5.79236388e-01  1.65693834e-01  3.40361387e-01 -3.23285043e-01
  3.52700561e-01 -2.21422184e-02 -1.65273458e-01 -3.20741832e-01
  8.55053008e-01  1.24082435e-02  9.42158028e-02 -1.72375634e-01
  3.46605331e-01  2.99828500e-01]",43.5826,-0.5773641
26,accidental,1,0,0,accident,JJ,1,2.6414741105040997,0.08004467001527575,0.08004467001527575,0.08004467001527575,0.08004467001527575,his,"[ 1.5417072e-01  2.6162338e-02 -2.7824947e-01 -1.6192514e-02
 -2.5823474e-01 -4.6620923e-01  6.0195839e-01  8.9444399e-01
 -6.7248029e-01 -3.2582137e-01 -1.7207935e-01 -5.7877022e-01
  4.2079183e-01  4.3580785e-01 -4.1984576e-01  2.4046698e-01
  5.4564035e-01  2.2103898e-01 -8.4282261e-01 -5.2077377e-01
  4.7504795e-01  3.6520374e-01  7.8728878e-01 -2.8063637e-01
  2.4031670e-01  7.4350931e-02 -6.3821889e-02  3.1334716e-01
 -7.3665184e-01  1.2710187e-02  2.9918017e-02 -1.4128406e-01
 -8.4361821e-02 -1.0472062e-02 -3.4934270e-01  1.8188922e-01
  5.8040822e-01  2.0755662e-01  3.7684631e-01 -3.5892996e-01
  3.6295617e-01 -2.9129939e-02 -1.8013415e-01 -3.1223756e-01
  9.0617186e-01 -4.2455157e-04  7.6770686e-02 -1.9885132e-01
  3.7129816e-01  2.9960823e-01]",44.96656,-1.4424287
27,accompanied,1,0,0,accompani,NNP,1,2.6414741105040997,0.020319031619262306,0.020319031619262306,0.020319031619262306,0.020319031619262306,he,"[ 0.18644261  0.00679859 -0.290997   -0.01042224 -0.2614551  -0.47616288
  0.66624695  0.9639681  -0.70570874 -0.32722545 -0.16205841 -0.61559546
  0.4749931   0.486271   -0.4487505   0.23686735  0.575746    0.23607877
 -0.88661695 -0.5444344   0.4848583   0.37141624  0.79862636 -0.3036301
  0.25684667  0.07933176 -0.04969481  0.35916603 -0.7795103  -0.0078346
  0.01651415 -0.16922472 -0.09197613  0.0124135  -0.3784607   0.20924462
  0.65327644  0.21337546  0.39861614 -0.38612935  0.40738583 -0.00570599
 -0.19935082 -0.3466426   0.95138866  0.00387659  0.10601201 -0.2160813
  0.36467478  0.34097725]",46.83979,-1.4751177
28,accomplished,2,0,0,accomplish,JJ,2,2.3404441148401185,0.051325528834213124,0.10265105766842625,0.051325528834213124,0.061590634601055745,by,"[ 0.21520723  0.02637221 -0.2915315  -0.03341956 -0.260115   -0.523942
  0.7148564   1.0438309  -0.73202306 -0.38773593 -0.16523167 -0.6940798
  0.48528913  0.48370904 -0.5126179   0.27124205  0.61794746  0.23258425
 -0.9545576  -0.5862997   0.5372567   0.41998783  0.87157303 -0.33800653
  0.23663533  0.07254478 -0.04506427  0.36457574 -0.82632565 -0.01076992
 -0.00488047 -0.17397882 -0.11825123 -0.01045733 -0.42180002  0.19865161
  0.70101535  0.22815768  0.42586082 -0.38201258  0.4377148  -0.02381188
 -0.20519829 -0.35793623  1.0422063   0.03103508  0.08049253 -0.22822343
  0.40802824  0.35096285]",48.791252,-1.8240588
